,0,1
0,600,200
1,0.22,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,923.0,46.0
33,0.0,0.0
34,0.0,0.0
35,828.0,54.0
36,819.0,47.0
37,805.0,45.0
38,0.0,0.0
39,0.0,0.0
40,741.0,49.0
41,725.0,48.0
42,713.0,46.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,445.0,56.0
54,422.0,62.0
55,398.0,71.0
56,376.0,73.0
57,355.0,70.0
58,336.0,64.0
59,0.0,0.0
60,286.0,55.0
61,265.0,49.0
62,244.0,47.0
63,218.0,47.0
64,197.0,48.0
65,176.0,51.0
66,157.0,56.0
67,141.0,64.0
68,130.0,80.0
69,0.0,0.0
70,138.0,140.0
71,159.0,172.0
72,182.0,202.0
73,207.0,228.0
74,230.0,252.0
75,254.0,276.0
76,274.0,297.0
77,283.0,318.0
78,286.0,338.0
79,0.0,0.0
80,282.0,378.0
81,277.0,392.0
82,269.0,392.0
83,259.0,391.0
84,247.0,390.0
85,232.0,383.0
86,216.0,377.0
87,203.0,377.0
88,192.0,384.0
89,186.0,390.0
90,183.0,391.0
91,185.0,388.0
92,185.0,384.0
93,178.0,381.0
94,169.0,379.0
95,159.0,377.0
96,147.0,379.0
97,0.0,0.0
98,0.0,0.0
99,114.0,386.0
100,110.0,383.0
101,100.0,384.0
102,972.0,128.0
103,970.0,161.0
104,70.0,388.0
105,66.0,387.0
106,68.0,387.0
107,70.0,389.0
108,78.0,388.0
109,87.0,387.0
110,95.0,387.0
111,106.0,387.0
112,115.0,386.0
113,144.0,385.0
114,163.0,384.0
115,186.0,383.0
116,209.0,380.0
117,235.0,379.0
118,262.0,379.0
119,281.0,378.0
120,325.0,379.0
121,352.0,382.0
122,387.0,383.0
123,422.0,385.0
124,456.0,387.0
125,486.0,387.0
126,514.0,389.0
127,537.0,393.0
128,557.0,395.0
129,577.0,396.0
130,597.0,396.0
131,615.0,396.0
132,627.0,396.0
133,633.0,394.0
134,635.0,393.0
135,634.0,394.0
136,631.0,396.0
137,625.0,395.0
138,618.0,394.0
139,607.0,391.0
140,598.0,391.0
141,592.0,393.0
142,582.0,396.0
143,572.0,394.0
144,561.0,391.0
145,547.0,392.0
146,531.0,395.0
147,519.0,390.0
148,507.0,387.0
149,499.0,390.0
150,493.0,394.0
151,489.0,395.0
152,491.0,391.0
153,498.0,387.0
154,510.0,387.0
155,524.0,387.0
156,543.0,391.0
157,564.0,394.0
158,586.0,396.0
159,608.0,396.0
160,0.0,0.0
161,0.0,0.0
162,703.0,392.0
163,728.0,390.0
164,761.0,388.0
165,797.0,385.0
166,833.0,382.0
167,870.0,381.0
168,903.0,378.0
169,939.0,375.0
170,972.0,371.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
