,Image frame,x_px,y_px,x,y
209,209,406.0,407.0,5.69672783635,0.130840402755
210,210,390.0,402.0,5.73859676524,0.143924443031
211,211,377.0,396.0,5.77261526995,0.159625291362
212,212,361.0,394.0,5.81448419883,0.164858907472
213,213,347.0,398.0,5.85111951161,0.154391675251
214,214,336.0,405.0,5.87990440021,0.136074018866
215,215,325.0,411.0,5.90868928882,0.120373170535
216,216,318.0,416.0,5.9270069452,0.10728913026
217,217,311.0,418.0,5.94532460159,0.102055514149
218,218,306.0,419.0,5.95840864186,0.0994387060942
219,219,272.0,417.0,6.04738011574,0.104672322204
220,220,270.0,415.0,6.05261373185,0.109905938315
221,221,,,,
222,222,215.0,412.0,6.19653817488,0.11775636248
223,223,208.0,411.0,6.21485583127,0.120373170535
224,224,200.0,412.0,6.23579029571,0.11775636248
225,225,192.0,412.0,6.25672476015,0.11775636248
226,226,184.0,414.0,6.27765922459,0.11252274637
227,227,176.0,414.0,6.29859368903,0.11252274637
228,228,168.0,415.0,6.31952815347,0.109905938315
229,229,161.0,416.0,6.33784580986,0.10728913026
230,230,151.0,415.0,6.36401389041,0.109905938315
231,231,139.0,413.0,6.39541558707,0.115139554425
232,232,125.0,411.0,6.43205089984,0.120373170535
233,233,117.0,409.0,6.45298536428,0.125606786645
234,234,112.0,409.0,6.46606940456,0.125606786645
235,235,765.0,367.0,6.53314754268,0.160159197662
236,236,757.0,364.0,6.55381324561,0.167908836258
237,237,748.0,362.0,6.5770621614,0.173075261989
238,238,736.0,358.0,6.60806071578,0.183408113451
239,239,727.0,353.0,6.63130963157,0.196324177779
240,240,721.0,345.0,6.64680890877,0.216989880703
241,241,680.0,327.0,6.75272063625,0.263487712282
242,242,674.0,315.0,6.76821991344,0.294486266668
243,243,667.0,305.0,6.7863024035,0.320318395323
244,244,662.0,293.0,6.79921846783,0.351316949709
245,245,658.0,284.0,6.80955131929,0.374565865499
246,246,652.0,277.0,6.82505059649,0.392648355558
247,247,644.0,269.0,6.84571629941,0.413314058482
248,248,635.0,261.0,6.8689652152,0.433979761406
249,249,626.0,254.0,6.89221413099,0.452062251464
250,250,616.0,247.0,6.91804625964,0.470144741523
251,251,607.0,240.0,6.94129517543,0.488227231581
252,252,594.0,238.0,6.97487694269,0.493393657312
253,253,582.0,239.0,7.00587549707,0.490810444447
254,254,572.0,242.0,7.03170762573,0.48306080585
255,255,560.0,244.0,7.06270618011,0.477894380119
256,256,545.0,242.0,7.1014543731,0.48306080585
257,257,532.0,240.0,7.13503614035,0.488227231581
258,258,518.0,235.0,7.17120112046,0.501143295909
259,259,505.0,229.0,7.20478288772,0.516642573102
260,260,494.0,223.0,7.23319822924,0.532141850295
261,261,486.0,217.0,7.25386393216,0.547641127488
262,262,448.0,208.0,7.35202602105,0.570890043278
263,263,440.0,205.0,7.37269172397,0.578639681874
264,264,430.0,204.0,7.39852385263,0.58122289474
265,265,415.0,205.0,7.43727204561,0.578639681874
266,266,401.0,205.0,7.47343702573,0.578639681874
267,267,386.0,203.0,7.51218521871,0.583806107605
268,268,371.0,202.0,7.55093341169,0.586389320471
269,269,355.0,201.0,7.59226481754,0.588972533336
270,270,342.0,202.0,7.62584658479,0.586389320471
271,271,326.0,207.0,7.66717799064,0.573473256143
272,272,315.0,214.0,7.69559333216,0.555390766085
273,273,309.0,222.0,7.71109260936,0.534725063161
274,274,308.0,238.0,7.71367582222,0.493393657312
275,275,309.0,256.0,7.71109260936,0.446895825733
276,276,320.0,274.0,7.68267726784,0.400397994154
277,277,339.0,296.0,7.63359622339,0.343567311113
278,278,358.0,319.0,7.58451517895,0.284153415206
279,279,376.0,337.0,7.53801734737,0.237655583627
280,280,394.0,349.0,7.49151951579,0.206657029241
281,281,411.0,364.0,7.44760489707,0.167908836258
282,282,421.0,379.0,7.42177276842,0.129160643276
283,283,443.0,384.0,7.36494208538,0.116244578948
284,284,452.0,391.0,7.34169316959,0.0981620888894
285,285,492.0,387.0,7.23836465497,0.108494940351
286,286,503.0,391.0,7.20994931345,0.0981620888894
287,287,522.0,392.0,7.160868269,0.0955788760239
288,288,541.0,393.0,7.11178722456,0.0929956631584
289,289,560.0,394.0,7.06270618011,0.0904124502928
290,290,580.0,396.0,7.0110419228,0.0852460245618
291,291,600.0,397.0,6.95937766549,0.0826628116963
292,292,621.0,398.0,6.90513019532,0.0800795988308
293,293,644.0,398.0,6.84571629941,0.0800795988308
294,294,663.0,398.0,6.79663525497,0.0800795988308
295,295,676.0,396.0,6.76305348771,0.0852460245618
296,296,724.0,396.0,6.63905927017,0.0852460245618
297,297,107.0,435.0,6.47915344483,0.0575697772124
298,298,121.0,435.0,6.44251813206,0.0575697772124
299,299,144.0,434.0,6.38233154679,0.0601865852675
300,300,168.0,432.0,6.31952815347,0.0654202013777
301,301,189.0,430.0,6.26457518431,0.070653817488
302,302,205.0,429.0,6.22270625543,0.0732706255431
303,303,,,,
304,304,267.0,430.0,6.06046415601,0.070653817488
305,305,271.0,423.0,6.04999692379,0.0889714738737
306,306,309.0,424.0,5.9505582177,0.0863546658186
307,307,314.0,419.0,5.93747417742,0.0994387060942
308,308,335.0,415.0,5.88252120827,0.109905938315
309,309,354.0,411.0,5.83280185522,0.120373170535
310,310,375.0,407.0,5.77784888606,0.130840402755
311,311,397.0,402.0,5.72027910885,0.143924443031
312,312,420.0,399.0,5.66009252358,0.151774867196
313,313,53.0,166.0,2.24443405364,0.384569637425
314,314,108.0,163.0,2.15326452752,0.389542520667
315,315,174.0,162.0,2.04386109619,0.391200148415
316,316,239.0,163.0,1.9361152926,0.389542520667
317,317,278.0,163.0,1.87146781045,0.389542520667
318,318,376.0,164.0,1.70902029119,0.38788489292
319,319,440.0,165.0,1.60293211535,0.386227265172
320,320,509.0,167.0,1.48855580077,0.382912009677
321,321,580.0,174.0,1.37086423069,0.371308615444
322,322,641.0,175.0,1.2697489381,0.369650987697
323,323,717.0,211.0,1.14376922928,0.309976388786
324,324,785.0,235.0,1.03105054245,0.270193322846
325,325,855.0,255.0,0.915016600126,0.237040767895
326,326,927.0,273.0,0.795667402305,0.20720346844
327,327,981.0,270.0,0.706155503939,0.212176351683
328,328,578.0,173.0,3.82765313673,0.398405275799
329,329,609.0,175.0,3.75141509012,0.393486692147
330,330,672.0,164.0,3.59647970509,0.420538902232
331,331,717.0,162.0,3.48581157292,0.425457485884
332,332,763.0,162.0,3.37268414893,0.425457485884
333,333,811.0,161.0,3.25463814129,0.42791677771
334,334,831.0,153.0,3.20545230477,0.447591112317
335,335,,,,
336,336,,,,
337,337,,,,
338,338,,,,
339,339,,,,
340,340,,,,
341,341,,,,
342,342,,,,
343,343,,,,
344,344,,,,
345,345,,,,
346,346,,,,
347,347,,,,
348,348,,,,
349,349,,,,
350,350,,,,
351,351,,,,
352,352,,,,
353,353,,,,
354,354,,,,
355,355,,,,
356,356,,,,
357,357,,,,
358,358,,,,
359,359,,,,
360,360,,,,
361,361,,,,
362,362,,,,
363,363,,,,
364,364,,,,
365,365,,,,
366,366,,,,
367,367,,,,
368,368,,,,
369,369,,,,
370,370,,,,
371,371,,,,
372,372,,,,
373,373,,,,
374,374,,,,
375,375,,,,
376,376,,,,
377,377,,,,
378,378,,,,
379,379,,,,
380,380,,,,
381,381,,,,
382,382,,,,
383,383,,,,
