Image frame,down,u,up,v,x,x_px,y,y_px
199,199,,,,,5.17057660077,45.0,0.138230047795,281.0
200,200,,,,,5.20641402056,31.0,0.127990784995,285.0
201,201,,,,,5.23457199326,20.0,0.122871153595,287.0
202,202,,,,,5.24481125606,16.0,0.110072075096,292.0
203,203,,,,,5.39476623427,520.0,0.108103193535,414.0
204,204,,,,,5.42565286099,508.0,0.0952337657333,419.0
205,205,,,,,5.53375605453,466.0,0.0875121090522,422.0
206,206,,,,,5.56464268125,454.0,0.0900859946126,421.0
207,207,,,,,5.60325096466,439.0,0.0978076512937,418.0
208,208,,,,,5.64443313362,423.0,0.108103193535,414.0
209,209,,,,,5.68818918815,406.0,0.126120392458,407.0
210,210,,,,,5.72937135711,390.0,0.138989820259,402.0
211,211,,,,,5.7628318694,377.0,0.154433133622,396.0
212,212,,,,,5.80401403836,361.0,0.159580904742,394.0
213,213,,,,,5.84004843621,347.0,0.149285362501,398.0
214,214,,,,,5.86836117737,336.0,0.131268163578,405.0
215,215,,,,,5.89667391854,325.0,0.115824850216,411.0
216,216,,,,,5.91469111746,318.0,0.102955422414,416.0
217,217,,,,,5.93270831638,311.0,0.0978076512937,418.0
218,218,,,,,5.94557774418,306.0,0.0952337657333,419.0
219,219,,,,,6.03308985324,272.0,0.100381536854,417.0
220,220,,,,,6.03823762436,270.0,0.105529307975,415.0
221,221,,,,,,,,
222,222,,,,,6.17980133018,215.0,0.113250964656,412.0
223,223,,,,,6.1978185291,208.0,0.115824850216,411.0
224,224,,,,,6.21840961358,200.0,0.113250964656,412.0
225,225,,,,,6.23900069806,192.0,0.113250964656,412.0
226,226,,,,,6.25959178255,184.0,0.108103193535,414.0
227,227,,,,,6.28018286703,176.0,0.108103193535,414.0
228,228,,,,,6.30077395151,168.0,0.105529307975,415.0
229,229,,,,,6.31879115044,161.0,0.102955422414,416.0
230,230,,,,,6.34453000604,151.0,0.105529307975,415.0
231,231,,,,,6.37541663276,139.0,0.110677079095,413.0
232,232,,,,,6.41145103061,125.0,0.115824850216,411.0
233,233,,,,,6.43204211509,117.0,0.120972621337,409.0
234,234,,,,,6.44491154289,112.0,0.120972621337,409.0
235,235,,,,,6.53519753478,765.0,0.157029758169,367.0
236,236,,,,,6.55579160142,757.0,0.164752533161,364.0
237,237,,,,,6.5789599264,748.0,0.169901049822,362.0
238,238,,,,,6.60985102637,736.0,0.180198083145,358.0
239,239,,,,,6.63301935134,727.0,0.193069374798,353.0
240,240,,,,,6.64846490133,721.0,0.213663441443,345.0
241,241,,,,,6.75400949288,680.0,0.260000091395,327.0
242,242,,,,,6.76945504287,674.0,0.290891191362,315.0
243,243,,,,,6.78747485118,667.0,0.316633774669,305.0
244,244,,,,,6.80034614283,662.0,0.347524874636,293.0
245,245,,,,,6.81064317616,658.0,0.370693199612,284.0
246,246,,,,,6.82608872614,652.0,0.388713007927,277.0
247,247,,,,,6.84668279278,644.0,0.409307074572,269.0
248,248,,,,,6.86985111776,635.0,0.429901141217,261.0
249,249,,,,,6.89301944274,626.0,0.447920949531,254.0
250,250,,,,,6.91876202604,616.0,0.465940757846,247.0
251,251,,,,,6.94193035102,607.0,0.48396056616,240.0
252,252,,,,,6.97539570932,594.0,0.489109082822,238.0
253,253,,,,,7.00628680928,582.0,0.486534824491,239.0
254,254,,,,,7.03202939259,572.0,0.478812049499,242.0
255,255,,,,,7.06292049256,560.0,0.473663532838,244.0
256,256,,,,,7.10153436752,545.0,0.478812049499,242.0
257,257,,,,,7.13499972582,532.0,0.48396056616,240.0
258,258,,,,,7.17103934245,518.0,0.496831857814,235.0
259,259,,,,,7.20450470074,505.0,0.512277407797,229.0
260,260,,,,,7.23282154238,494.0,0.527722957781,223.0
261,261,,,,,7.25341560903,486.0,0.543168507765,217.0
262,262,,,,,7.35123742559,448.0,0.566336832741,208.0
263,263,,,,,7.37183149223,440.0,0.574059607733,205.0
264,264,,,,,7.39757407554,430.0,0.576633866063,204.0
265,265,,,,,7.4361879505,415.0,0.574059607733,205.0
266,266,,,,,7.47222756713,401.0,0.574059607733,205.0
267,267,,,,,7.51084144209,386.0,0.579208124394,203.0
268,268,,,,,7.54945531705,371.0,0.581782382725,202.0
269,269,,,,,7.59064345034,355.0,0.584356641055,201.0
270,270,,,,,7.62410880864,342.0,0.581782382725,202.0
271,271,,,,,7.66529694193,326.0,0.568911091071,207.0
272,272,,,,,7.69361378356,315.0,0.550891282757,214.0
273,273,,,,,7.70905933355,309.0,0.530297216112,222.0
274,274,,,,,7.71163359188,308.0,0.489109082822,238.0
275,275,,,,,7.70905933355,309.0,0.44277243287,256.0
276,276,,,,,7.68074249191,320.0,0.396435782919,274.0
277,277,,,,,7.63183158363,339.0,0.339802099644,296.0
278,278,,,,,7.58292067535,358.0,0.28059415804,319.0
279,279,,,,,7.5365840254,376.0,0.234257508088,337.0
280,280,,,,,7.49024737544,394.0,0.203366408121,349.0
281,281,,,,,7.44648498382,411.0,0.164752533161,364.0
282,282,,,,,7.42074240052,421.0,0.126138658201,379.0
283,283,,,,,7.36410871724,443.0,0.113267366548,384.0
284,284,,,,,7.34094039227,452.0,0.0952475582337,391.0
285,285,,,,,7.23797005904,492.0,0.105544591556,387.0
286,286,,,,,7.2096532174,503.0,0.0952475582337,391.0
287,287,,,,,7.16074230912,522.0,0.092673299903,392.0
288,288,,,,,7.11183140084,541.0,0.0900990415724,393.0
289,289,,,,,7.06292049256,560.0,0.0875247832418,394.0
290,290,,,,,7.01143532595,580.0,0.0823762665805,396.0
291,291,,,,,6.95995015933,600.0,0.0798020082498,397.0
292,292,,,,,6.90589073439,621.0,0.0772277499192,398.0
293,293,,,,,6.84668279278,644.0,0.0772277499192,398.0
294,294,,,,,6.7977718845,663.0,0.0772277499192,398.0
295,295,,,,,6.7643065262,676.0,0.0823762665805,396.0
296,296,,,,,6.64074212633,724.0,0.0823762665805,396.0
297,297,,,,,6.4577809707,107.0,0.0540515967676,435.0
298,298,,,,,6.42174657285,121.0,0.0540515967676,435.0
299,299,,,,,6.36254720496,144.0,0.0566254823279,434.0
300,300,,,,,6.30077395151,168.0,0.0617732534486,432.0
301,301,,,,,6.24672235475,189.0,0.0669210245694,430.0
302,302,,,,,6.20554018578,205.0,0.0694949101297,429.0
303,303,,,,,,,,
304,304,,,,,6.04595928104,267.0,0.0669210245694,430.0
305,305,,,,,6.0356637388,271.0,0.0849382234919,423.0
306,306,,,,,5.9378560875,309.0,0.0823643379315,424.0
307,307,,,,,5.9249866597,314.0,0.0952337657333,419.0
308,308,,,,,5.87093506293,335.0,0.105529307975,415.0
309,309,,,,,5.82203123729,354.0,0.115824850216,411.0
310,310,,,,,5.76797964052,375.0,0.126120392458,407.0
311,311,,,,,5.71135415819,397.0,0.138989820259,402.0
312,312,,,,,5.6521547903,420.0,0.146711476941,399.0
313,313,,,,,5.59295542241,443.0,0.159580904742,394.0
314,314,,,,,5.52603439785,469.0,0.182745874786,385.0
315,315,,,,,5.42050508987,510.0,0.21363250151,373.0
316,316,,,,,5.23201217756,21.0,0.240622675791,241.0
317,317,,,,,5.14497844377,55.0,0.243182491491,240.0
318,318,,,,,4.98626987037,117.0,0.294378805488,220.0
319,319,,,,,4.84548000688,172.0,0.322536778187,209.0
320,320,,,,,4.72772848468,218.0,0.337895672387,203.0
321,321,,,,,4.64325456659,251.0,0.335335856687,204.0
322,322,,,,,4.52550304439,297.0,0.348134935186,199.0
323,323,,,,,4.4077515222,343.0,0.358374197986,195.0
324,324,,,,,4.2516027645,404.0,0.386532170685,184.0
325,325,,,,,4.13129142661,451.0,0.399331249184,179.0
326,326,,,,,4.04425769281,485.0,0.394211617785,181.0
327,327,,,,,3.89322856652,544.0,0.417249959084,172.0
328,328,,,,,3.80619483272,578.0,0.414690143384,173.0
329,329,,,,,3.72684054602,609.0,0.409570511984,175.0
330,330,,,,,3.56557215693,672.0,0.437728484683,164.0
331,331,,,,,3.45038045043,717.0,0.442848116083,162.0
332,332,,,,,3.33262892824,763.0,0.442848116083,162.0
333,333,,,,,3.20975777464,811.0,0.445407931783,161.0
334,334,,,,,3.15856146064,831.0,0.465886457382,153.0
335,335,,,,,,,,
336,336,,,,,,,,
337,337,,,,,,,,
338,338,,,,,,,,
339,339,,,,,,,,
340,340,,,,,,,,
341,341,,,,,,,,
342,342,,,,,,,,
343,343,,,,,2.22751848783,53.0,0.377799044538,166.0
344,344,2.13756633437,-2.42870814346,,0.132474989643,2.13756633437,108.0,0.382705525636,163.0
345,345,2.02962375022,-2.91444977215,,0.0441583298811,2.02962375022,174.0,0.384341019336,162.0
346,346,1.92331665976,-2.87029144227,,-0.0441583298811,1.92331665976,239.0,0.382705525636,163.0
347,347,1.85953240549,-1.72217486536,,0.0,1.85953240549,278.0,0.382705525636,163.0
348,348,1.69925402296,-4.32751632835,,-0.0441583298811,1.69925402296,376.0,0.381070031937,164.0
349,349,1.5945824262,-2.82613311239,,-0.0441583298811,1.5945824262,440.0,0.379434538238,165.0
350,350,1.48173336095,-3.0469247618,,-0.0883166597622,1.48173336095,509.0,0.376163550839,167.0
351,351,1.3656133083,-3.13524142156,,-0.309108309168,1.3656133083,580.0,0.364715094944,174.0
352,352,1.26584819264,-2.69365812275,,-0.0441583298811,1.26584819264,641.0,0.363079601245,175.0
353,353,1.1415506715,-3.35603307096,,-1.58969987572,1.1415506715,717.0,0.30420182807,211.0
354,354,1.03033709994,-3.00276643191,,-1.05979991715,1.03033709994,785.0,0.264949979287,235.0
355,355,0.915852540993,-3.09108309168,,-0.883166597622,0.915852540993,855.0,0.232240105301,255.0
